,ASIN,seller,seller_link,ratings,best_sellers_rank,link_to_all_reviews
0,B019U00D7K,cosmonic,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=AP4XNPLE1XK1&isAmazonFulfilled=1,4.4 out of 5 stars,#1 in Over-Ear Headphones,https://www.amazon.com/Cancelling-Headphones-Bluetooth-Microphone-Comfortable/product-reviews/B019U00D7K/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
1,B077YG22Y9,cosmonic,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=AP4XNPLE1XK1&isAmazonFulfilled=1,4.4 out of 5 stars,#9 in Over-Ear Headphones,https://www.amazon.com/Cancelling-Headphones-Bluetooth-Microphone-Cellphone/product-reviews/B077YG22Y9/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
2,B00NJ2M33I,,,4.5 out of 5 stars,#1 in On-Ear Headphones,/Sony-MDRZX110-BLK-Stereo-Headphones/product-reviews/B00NJ2M33I/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
3,B08F1SX35C,cosmonic,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=AP4XNPLE1XK1&isAmazonFulfilled=1,4.5 out of 5 stars,#107 in Earbud & In-Ear Headphones,https://www.amazon.com/TOZO-T6-Bluetooth-Headphones-Waterproof/product-reviews/B08F1SX35C/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
4,B07YVYPNRD,,,,,/Beats-Solo3-Wireless-Ear-Headphones/product-reviews/B07YVYPNRD/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
5,B07SHH37M6,cosmonic,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=AP4XNPLE1XK1&isAmazonFulfilled=1,4.5 out of 5 stars,#5 in On-Ear Headphones,https://www.amazon.com/PeohZarr-Headphones-Microphone-Lightweight-Smartphone/product-reviews/B07SHH37M6/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
6,B085VX9JY7,cosmonic,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=AP4XNPLE1XK1&isAmazonFulfilled=1,4.3 out of 5 stars,#28 in Earbud & In-Ear Headphones,
7,B019U00D7K,cosmonic,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=AP4XNPLE1XK1&isAmazonFulfilled=1,4.4 out of 5 stars,#1 in Over-Ear Headphones,https://www.amazon.com/Cancelling-Headphones-Bluetooth-Microphone-Comfortable/product-reviews/B019U00D7K/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
8,B07R2J14V3,,,4.4 out of 5 stars,#49 in Earbud & In-Ear Headphones,
9,B07NM3RSRQ,cosmonic,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=AP4XNPLE1XK1&isAmazonFulfilled=1,4.5 out of 5 stars,#4 in Over-Ear Headphones,https://www.amazon.com/Soundcore-Cancelling-Headphones-Wireless-Bluetooth/product-reviews/B07NM3RSRQ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
10,B08P5S3YDF,cosmonic,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=AP4XNPLE1XK1&isAmazonFulfilled=1,4.6 out of 5 stars,#12 in Earbud & In-Ear Headphones,
11,B07L1RQDJM,cosmonic,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=AP4XNPLE1XK1&isAmazonFulfilled=1,4.2 out of 5 stars,#161 in Earbud & In-Ear Headphones,https://www.amazon.com/earphone-Stereo-Earbud-Headphones-Colors/product-reviews/B07L1RQDJM/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
12,B07K5214NZ,cosmonic,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=AP4XNPLE1XK1&isAmazonFulfilled=1,4.4 out of 5 stars,#8 in Over-Ear Headphones,https://www.amazon.com/Bluetooth-Over-Ear-Headphones-Foldable-Prolonged/product-reviews/B07K5214NZ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
13,B088F9BZJM,cosmonic,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=AP4XNPLE1XK1&isAmazonFulfilled=1,4.6 out of 5 stars,#22 in On-Ear Headphones,https://www.amazon.com/Headphones-Mpow-Adjustable-Compatible-Cellphones/product-reviews/B088F9BZJM/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
14,B08HMWZBXC,cosmonic,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=AP4XNPLE1XK1&isAmazonFulfilled=1,4.7 out of 5 stars,#7 in Over-Ear Headphones,https://www.amazon.com/Soundcore-Cancelling-Headphones-Comfortable-Bluetooth/product-reviews/B08HMWZBXC/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
15,B086GPHS71,,,4.4 out of 5 stars,#34 in Over-Ear Headphones,/LETSCOM-Bluetooth-Headphones-Playtime-Office-Red/product-reviews/B086GPHS71/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
16,B08XV1QKH1,cosmonic,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=AP4XNPLE1XK1&isAmazonFulfilled=1,4.3 out of 5 stars,#60 in Earbud & In-Ear Headphones,https://www.amazon.com/Earbuds-Headphones-Ear-Built-Microphone/product-reviews/B08XV1QKH1/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
17,B07J2Z5DBM,cosmonic,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=AP4XNPLE1XK1&isAmazonFulfilled=1,4.4 out of 5 stars,#4 in Earbud & In-Ear Headphones,https://www.amazon.com/TOZO-Bluetooth-Wireless-Headphones-Waterproof/product-reviews/B07J2Z5DBM/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
18,B000AJIF4E,cosmonic,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=AP4XNPLE1XK1&isAmazonFulfilled=1,4.8 out of 5 stars,#20 in Over-Ear Headphones,https://www.amazon.com/Sony-MDR7506-Professional-Diaphragm-Headphone/product-reviews/B000AJIF4E/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
19,B00HVLUR18,cosmonic,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=AP4XNPLE1XK1&isAmazonFulfilled=1,4.6 out of 5 stars,#13 in Over-Ear Headphones,https://www.amazon.com/Audio-Technica-ATH-M20x-Professional-Monitor-Headphones/product-reviews/B00HVLUR18/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
20,B08RJ8MCZ3,,,4.4 out of 5 stars,#272 in Earbud & In-Ear Headphones,
21,B08B8XVBM6,,,4.1 out of 5 stars,#299 in Over-Ear Headphones,/Jabra-Evolve2-Wireless-Headphones-Link380a/product-reviews/B08B8XVBM6/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
22,B06X16Z7DZ,,,,,/Apple-EarPods-3-5mm-Headphone-Plug/product-reviews/B06X16Z7DZ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
23,B0858JWG2S,,,,,/Powerbeats-High-Performance-Wireless-Earphones-Headphone/product-reviews/B0858JWG2S/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
24,B08DKZM85T,cosmonic,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=AP4XNPLE1XK1&isAmazonFulfilled=1,4.5 out of 5 stars,#5 in Earbud & In-Ear Headphones,https://www.amazon.com/Mpow-Bluetooth-Cancelling-Headphones-Waterproof/product-reviews/B08DKZM85T/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
25,B077YG22Y9,cosmonic,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=AP4XNPLE1XK1&isAmazonFulfilled=1,4.4 out of 5 stars,#9 in Over-Ear Headphones,https://www.amazon.com/Cancelling-Headphones-Bluetooth-Microphone-Cellphone/product-reviews/B077YG22Y9/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
26,B08HBBF6FR,,,4.3 out of 5 stars,#185 in Over-Ear Headphones,/Panasonic-Full-Sized-Lightweight-Over-Headphones/product-reviews/B08HBBF6FR/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
27,B08H1WNYTR,cosmonic,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=AP4XNPLE1XK1&isAmazonFulfilled=1,4.5 out of 5 stars,#24 in Earbud & In-Ear Headphones,https://www.amazon.com/Bluetooth-Headphones-True-Waterproof-Microphone-Workout-Black/product-reviews/B08H1WNYTR/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
28,B07DKRYS6D,cosmonic,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=AP4XNPLE1XK1&isAmazonFulfilled=1,4.7 out of 5 stars,#6 in On-Ear Headphones,
29,B08788G7TQ,,,4.5 out of 5 stars,#77 in On-Ear Headphones,/Pack-iClever-BTH03-Headphones-Bluetooth/product-reviews/B08788G7TQ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
30,B08XV1QKH1,cosmonic,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=AP4XNPLE1XK1&isAmazonFulfilled=1,4.3 out of 5 stars,#60 in Earbud & In-Ear Headphones,https://www.amazon.com/Earbuds-Headphones-Ear-Built-Microphone/product-reviews/B08XV1QKH1/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
31,B07ZRLM42Z,cosmonic,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=AP4XNPLE1XK1&isAmazonFulfilled=1,4.4 out of 5 stars,#92 in Over-Ear Headphones,https://www.amazon.com/Bluetooth-Headphones-Microphone-Lightweight-Cellphone/product-reviews/B07ZRLM42Z/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
32,B08KTCT1PV,cosmonic,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=AP4XNPLE1XK1&isAmazonFulfilled=1,4.7 out of 5 stars,#52 in On-Ear Headphones #93 in Over-Ear Headphones,
33,B0868MDSL5,cosmonic,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=AP4XNPLE1XK1&isAmazonFulfilled=1,4.5 out of 5 stars,#1 in Telephone Headsets #24 in Over-Ear Headphones,https://www.amazon.com/Cancelling-Headphones-Bluetooth-Headphone-Comfortable/product-reviews/B0868MDSL5/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
34,B08XV1QKH1,cosmonic,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=AP4XNPLE1XK1&isAmazonFulfilled=1,4.3 out of 5 stars,#60 in Earbud & In-Ear Headphones,https://www.amazon.com/Earbuds-Headphones-Ear-Built-Microphone/product-reviews/B08XV1QKH1/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
35,B07BC64276,cosmonic,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=AP4XNPLE1XK1&isAmazonFulfilled=1,4.4 out of 5 stars,#67 in Earbud & In-Ear Headphones,https://www.amazon.com/Mpow-Bluetooth-Headphones-Waterproof-Workout-Blue/product-reviews/B07BC64276/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
36,B07L1RQDJM,cosmonic,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=AP4XNPLE1XK1&isAmazonFulfilled=1,4.2 out of 5 stars,#161 in Earbud & In-Ear Headphones,https://www.amazon.com/earphone-Stereo-Earbud-Headphones-Colors/product-reviews/B07L1RQDJM/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
37,B08MVGF24M,,,4.7 out of 5 stars,#69 in Over-Ear Headphones,/Sony-WH-1000XM4-Canceling-Headphones-Phone-Call/product-reviews/B08MVGF24M/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
38,B083ZVN4L9,,,4.4 out of 5 stars,#179 in On-Ear Headphones #362 in Over-Ear Headphones,
39,B08TTF7H8X,cosmonic,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=AP4XNPLE1XK1&isAmazonFulfilled=1,4.3 out of 5 stars,#278 in Earbud & In-Ear Headphones,https://www.amazon.com/AUKEY-Bluetooth-Headphones-Hands-Free-Cancellation/product-reviews/B08TTF7H8X/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
