,ASIN,product_name,item_model_nr,package_dimensions,product_dimensions,best_sellers_rank,ratings,rating_details,batteries,date_first_available,discontinued_by_mfg,seller,seller_link,freq_bought,link_to_all_reviews
0,1087888735,,,,,,,,,,,,,,/Chicken-Thoughts-Comics-About-Birds/product-reviews/1087888735/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
1,B000001OMI,"Maxell 190318 Lightweight Adjustable Open Air Portable Stereo Headphones with Dynamic Sound Reproduction, 32 Ohms,white blue black",190318,,4 x 4 x 3 ,#443 in On-Ear Headphones,4.1,"[{'info': '4.1 out of 5 stars', 'value': '440 ratings'}]",,"September 4, 1973",No, Maxell,/stores/Maxell/page/08DFAA22-C40B-465D-8814-B31233856416?ref_=ast_bln,,/Maxell-190318-Lightweight-Adjustable-Reporoduction/product-reviews/B000001OMI/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
2,B00000JBHP,"Yamaha RH1C Portable Headphones, Black",RH1C,,30.4 x 8.8 x 3.5 ,#313 in On-Ear Headphones,4.4,"[{'info': '4.4 out of 5 stars', 'value': '568 ratings'}]",,"July 30, 2004",Yes, YAMAHA,/stores/Yamaha/page/E9480F50-C545-436C-90CB-6A9D7EC649A9?ref_=ast_bln,,
3,B00001P4XA,Koss 'The Plug' In-Ear Headphones (Black),156407,,6 x 4 x 1 ,"#1,171 in Earbud & In-Ear Headphones",4.2,"[{'info': '4.1 out of 5 stars', 'value': '1,534 ratings'}]",,"July 8, 2002",No, Koss,/stores/Koss/page/9E0B0736-5F99-4ABA-9317-94D80AA05DA8?ref_=ast_bln,"[{'info': 'Koss PATHFINDRB Lightweight Earbud Stereophone with In-line Volume Control - (BLACK)', 'value': '/Koss-PATHFINDRB-Lightweight-Stereophone-Control/dp/B004W7HEMO/ref=pd_bxgy_2/147-0804139-6682707?_encoding=UTF8&pd_rd_i=B004W7HEMO&pd_rd_r=7989007b-118d-472d-a2b9-aa75894de88d&pd_rd_w=nWLof&pd_rd_wg=3Xx33&pf_rd_p=f325d01c-4658-4593-be83-3e12ca663f0e&pf_rd_r=YYPRAQ2QH55BSC3M5WJR&psc=1&refRID=YYPRAQ2QH55BSC3M5WJR'}]",/Koss-Plug-Ear-Headphones-Black/product-reviews/B00001P4XA/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
4,B00001P4ZH,"Koss Porta Pro On Ear Headphones with Case, Black / Silver",6303157,,6.81 x 2 x 8.94 ,#94 in On-Ear Headphones,4.7,"[{'info': '4.7 out of 5 stars', 'value': '5,289 ratings'}]",,"May 14, 2003",No, Koss,/stores/Koss/page/9E0B0736-5F99-4ABA-9317-94D80AA05DA8?ref_=ast_bln,,/Koss-Porta-Headphones-Black-Silver/product-reviews/B00001P4ZH/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
5,B00001P4ZR,Koss R-10 On-Ear Headphones | Black | 8-foot cord | Lightweight,R/10,,,#999 in On-Ear Headphones,4.6,"[{'info': '4.6 out of 5 stars', 'value': '136 ratings'}]",,"October 15, 1999",No, Koss,/stores/Koss/page/9E0B0736-5F99-4ABA-9317-94D80AA05DA8?ref_=ast_bln,"[{'info': ""Gildan Men's Fleece Crewneck Sweatshirt, Style G18000"", 'value': '/Gildan-Fleece-Crewneck-Sweatshirt-White/dp/B07M61L594/ref=pd_bxgy_2/138-9365860-1353830?_encoding=UTF8&pd_rd_i=B07M61L594&pd_rd_r=b4e16217-4af1-4cc0-815c-da57b6023e87&pd_rd_w=rLJra&pd_rd_wg=RG8kb&pf_rd_p=f325d01c-4658-4593-be83-3e12ca663f0e&pf_rd_r=XG4H39J83TD74PV1363C&psc=1&refRID=XG4H39J83TD74PV1363C'}]",
6,B00004SY4H,Sennheiser HD 600 Open Back Professional Headphone,4465,,0.39 x 0.39 x 0.39 ,#648 in Over-Ear Headphones,4.8,"[{'info': '4.8 out of 5 stars', 'value': '1,508 ratings'}]",,"May 16, 2000",No, Sennheiser Pro Audio,/stores/Sennheiser/page/8239F60B-DBA4-4E73-A05F-FD713E9DA0AD?ref_=ast_bln,,/Sennheiser-Open-Back-Professional-Headphone/product-reviews/B00004SY4H/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
7,B00004Z7G9,"Koss Pro-4AA Studio Quality Headphones, Standard Packaging,Black,Full-Size",PRO/4AA,,9.45 x 9.45 x 4.09 ,#839 in Over-Ear Headphones,4.4,"[{'info': '4.4 out of 5 stars', 'value': '571 ratings'}]",,"May 14, 2003",No, Koss,/stores/Koss/page/9E0B0736-5F99-4ABA-9317-94D80AA05DA8?ref_=ast_bln,"[{'info': 'Monoprice 3.5mm Stereo Plug to 6.35mm (1/4 Inch) Stereo Jack Adaptor - Gold Plated', 'value': '/Monoprice-3-5mm-Stereo-6-35mm-Adaptor/dp/B003R70OA4/ref=pd_bxgy_2/142-4779188-8212054?_encoding=UTF8&pd_rd_i=B003R70OA4&pd_rd_r=f4e1c02d-a9df-4030-87c9-cc8e9dc9cf14&pd_rd_w=2Fcsk&pd_rd_wg=y67UD&pf_rd_p=bd257e40-8799-42ac-88d0-f76e0faf3886&pf_rd_r=TXM0V065ZW4ZRA4W1V2J&psc=1&refRID=TXM0V065ZW4ZRA4W1V2J'}]",/Koss-Pro-4AA-Studio-Quality-Headphones/product-reviews/B00004Z7G9/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
8,B000051SD1,"Koss QZ-99 Noise Reduction Stereophone, Standard Packaging",QZ99,,8.63 x 4.13 x 8.38 ,,,"[{'info': '4.3 out of 5 stars', 'value': '559 ratings'}]",,"September 4, 1973",Yes,AmazonGlobal - International Shopping,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A2XZ7JICGUQ1CX&isAmazonFulfilled=1,"[{'info': 'Race Day Electronics 3.5mm 2-Way Y Splitter for Headphones and Audio Devices', 'value': '/Race-Day-Electronics-Splitter-Headphones/dp/B005IH2PZI/ref=pd_bxgy_2/136-2653742-6579047?_encoding=UTF8&pd_rd_i=B005IH2PZI&pd_rd_r=4e0d6b8a-3fac-4b0a-a8f0-c38e58fe9601&pd_rd_w=AbIkh&pd_rd_wg=XjSs4&pf_rd_p=f325d01c-4658-4593-be83-3e12ca663f0e&pf_rd_r=F4Q0T5DN298VV3RWWB26&psc=1&refRID=F4Q0T5DN298VV3RWWB26'}]",https://www.amazon.com/Koss-QZ-99-Noise-Reduction-Stereophone/product-reviews/B000051SD1/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
9,B000051SD1,,,,,#750 in Over-Ear Headphones,4.3,,,,,cosmonic,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=AP4XNPLE1XK1&isAmazonFulfilled=1,,https://www.amazon.com/Koss-QZ-99-Noise-Reduction-Stereophone/product-reviews/B000051SD1/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
10,B00005QBU9,Sony MDR-V150 Monitor Series Headphones,MDRV150,,9.45 x 6.89 x 3.15 ,,,"[{'info': '4.3 out of 5 stars', 'value': '1,627 ratings'}]",1 Lithium ion batteries required.,"October 2, 2001",No,Click & Save 255,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A1V6XDKYY7ILEZ&isAmazonFulfilled=1,"[{'info': 'A Pair Black Ear Cushion Replacement Ear Pads Ear Cups For Sony MDR-V150 V250 V300 V100 V200 V400 DR…', 'value': '/Cushion-Replacement-MDR-V150-DR-BT101-Headphones/dp/B01G3AUK0K/ref=pd_bxgy_2/142-1035271-5165646?_encoding=UTF8&pd_rd_i=B01G3AUK0K&pd_rd_r=fa86a2e3-6d93-4211-9a9b-63bc3d526933&pd_rd_w=ILKML&pd_rd_wg=eUtj5&pf_rd_p=f325d01c-4658-4593-be83-3e12ca663f0e&pf_rd_r=AK6JMWHD4NWS7010ZG04&psc=1&refRID=AK6JMWHD4NWS7010ZG04'}]",https://www.amazon.com/Sony-MDR-V150-Monitor-Series-Headphones/product-reviews/B00005QBU9/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
11,B00005T3GH,,,,,"#1,016 in Headphone Adapters",4.6,,,,,cosmonic,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=AP4XNPLE1XK1&isAmazonFulfilled=1,,
12,B000065BPB,SENNHEISER HD280PRO Headphones (old model),HD280PRO,,7 x 4 x 8 ,#808 in Over-Ear Headphones,4.5,"[{'info': '4.5 out of 5 stars', 'value': '2,796 ratings'}]",1 Lithium Polymer batteries required.,"October 2, 2001",No, Sennheiser,/stores/Sennheiser/page/8239F60B-DBA4-4E73-A05F-FD713E9DA0AD?ref_=ast_bln,,
13,B00006JPRN,,,,,"#520 in On-Ear Headphones #20,304 in Computer Accessories & Peripherals",3.9,,,,,cosmonic,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=AP4XNPLE1XK1&isAmazonFulfilled=1,,https://www.amazon.com/Maxell-190319-Stereo-Headphone-Packaging/product-reviews/B00006JPRN/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
14,B00006JPRP,,,,,#802 in Earbud & In-Ear Headphones,3.8,,,,,,,,/Maxell-190316-Stereo-Neck-Bands/product-reviews/B00006JPRP/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
15,B00006L4ST,,,,,"#1,990 in Over-Ear Headphones",5.0,,,,,cosmonic,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=AP4XNPLE1XK1&isAmazonFulfilled=1,,https://www.amazon.com/Panasonic-RPHT225-Monitor-Headphones-Black/product-reviews/B00006L4ST/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
16,B0000WS6QI,"Numark HF125 | Ultra-Portable Professional DJ Headphones With 6ft Cable, 40mm Drivers for Extended Response & Closed Back Design for Superior Isolation",HF125,,6 x 4 x 8 ,"#424 in Musical Instruments ( See Top 100 in Musical Instruments ) #34 in Electronic Music, DJ & Karaoke #67 in On-Ear Headphones #134 in Over-Ear Headphones",4.4,"[{'info': '4.4 out of 5 stars', 'value': '7,339 ratings'}]",,"July 16, 2004",No, Numark,/stores/Numark/page/F9D7D564-C6C3-4025-8F80-D267FF1BFEFA?ref_=ast_bln,"[{'info': 'Alesis Drums Nitro Mesh Kit - Eight Piece All Mesh Electronic Drum Kit With Super Solid Aluminum…', 'value': '/Alesis-Nitro-Electronic-Snare-Cymbals/dp/B07BW1XJGP/ref=pd_bxgy_2/131-0668829-5349167?_encoding=UTF8&pd_rd_i=B07BW1XJGP&pd_rd_r=b844a5e0-a357-4627-98aa-a95291744d6d&pd_rd_w=RzCMy&pd_rd_wg=5PMip&pf_rd_p=f325d01c-4658-4593-be83-3e12ca663f0e&pf_rd_r=YQQ5XT2N7FA8M3XM7TT3&psc=1&refRID=YQQ5XT2N7FA8M3XM7TT3'}]",/Numark-HF125-Professional-Headphones-tangle-resistant/product-reviews/B0000WS6QI/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
