,ASIN,product_name,seller,seller_link,seller2,seller_link2,batteries,batteries_required?,date_first_available,discontinued_by_mfg,item_model_number,package_dimensions,product_dimensions,freq_bought,freq_bought_link,link_to_all_reviews
0,B07VKPWYQ5 ,ViewSonic ELITE XG270QC Curved 27 Inch 1ms 1440p 165Hz FreeSync Premium Pro Gaming Monitor with VESA DisplayHDR 400 and Advanced Ergonomics for Esports,,,Visit the ViewSonic Store,/stores/ViewSonic+Corporation/page/137763D7-E51B-4650-B00F-ED579E4052F5?ref_=ast_bln,,,"March 27, 2020",,XG270QC,,14 x 24.1 x 23.69 inches,,,/ViewSonic-XG270QC-Curved-Monitor-FreeSync/product-reviews/B07VKPWYQ5/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
1,B08LP22STD ,"Trio Max Portable Monitor for Laptop, Mobile Pixels 14.1"" Full HD IPS Display, Dual or Triple Laptop Monitor Screen, USB A/Type-C Plug and Play Monitor for 13”-17” Laptops(1x 14.1 Monitor)",dgvita-tech,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=AC2D8CHU2486J&isAmazonFulfilled=1,Visit the Trio Store,/stores/TRIO+by+Mobile+Pixels+Inc/page/244CB7A6-9CFC-4339-B8BF-1943EE3CFE4A?ref_=ast_bln,,,"November 20, 2020",,max 14.1,,14 x 0.5 x 9.5 inches,"Anker 4-Port USB 3.0 Hub, Ultra-Slim Data USB Hub with 2 ft Extended Cable [Charging Not Supported…",https://www.amazon.com/Anker-Extended-MacBook-Surface-Notebook/dp/B07L32B9C2/ref=pd_bxgy_2/136-3672511-3932148?_encoding=UTF8&pd_rd_i=B07L32B9C2&pd_rd_r=652465b5-f6fb-4456-923a-bb36f45743d0&pd_rd_w=wfKgI&pd_rd_wg=Wsu8d&pf_rd_p=f325d01c-4658-4593-be83-3e12ca663f0e&pf_rd_r=20T3ASGRN3XM648R55YM&psc=1&refRID=20T3ASGRN3XM648R55YM,
2,B08BF4CZSV ,HP 24mh FHD Monitor - Computer Monitor with 23.8-Inch IPS Display (1080p) - Built-In Speakers and VESA Mounting - Height/Tilt Adjustment for Ergonomic Viewing - HDMI and DisplayPort - (1D0J9AA#ABA),Moonlight LLC.,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A2MZXE8OBK2W1W&isAmazonFulfilled=1,Visit the HP Store,/stores/HP/page/5BA42671-3E42-4AEB-B9E4-272F10DD0121?ref_=ast_bln,,,"September 6, 2020",,24mh,,23.54 x 8.33 x 18.28 inches,,,/HP-24mh-FHD-Monitor-Built/product-reviews/B08BF4CZSV/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
3,B07743412C ,"Sceptre 20"" 1600x900 75Hz Ultra Thin LED Monitor 2x HDMI VGA Built-in Speakers, Machine Black Wide Viewing Angle 170° (Horizontal) / 160° (Vertical)",,,Visit the Sceptre Store,/stores/Sceptre+Inc./page/ACF6E09F-2DD3-41A9-AB26-0C549BB6EC35?ref_=ast_bln,,,"November 1, 2017",No,E205W-16003R,,18.35 x 7.17 x 13.58 inches,,,/Sceptre-E205W-16003R-Frameless-Speakers-Metallic/product-reviews/B07743412C/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
4,B08DWQ4JYF ,"Dell S2421H 24 Inch Full HD 1080p IPS Ultra-Thin Bezel Monitor 2 x HDMI Ports, Built-in Speakers, Silver",,,Visit the Dell Store,/stores/Dell/page/9B75DD0E-9F42-4B9B-ACAA-F329B23ADE7D?ref_=ast_bln,,,"July 29, 2020",,S2421H,,2.12 x 21.17 x 12.7 inches,,,/Dell-S2421H-Ultra-Thin-Monitor-Speakers/product-reviews/B08DWQ4JYF/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
5,B08K26TJNP ,"ASUS VY279HE 27” Eye Care Monitor, 1080P Full HD, 75Hz, IPS, 1ms, Adaptive-Sync/FreeSync, Eye Care Plus, Color Augmentation, Antibacterial Surface, HDMI VGA, Frameless, VESA Wall Mountable, Black",,,Visit the ASUS Store,/stores/ASUS/page/02389710-881F-4F25-89E8-F92DEEA14D5A?ref_=ast_bln,,,"December 28, 2020",,VY279HE,,24.15 x 17.15 x 7.94 inches,,,/ASUS-VY279HE-Adaptive-Sync-Augmentation-Antibacterial/product-reviews/B08K26TJNP/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
6,B089T73ZB9 ,"Dell S2421HGF 24 Inch FHD TN, Anti-Glare Gaming Monitor - 1ms Response Time, 1080p 144Hz, LED Edgelight System, AMD FreeSync Premium, VESA, Gray",,,Visit the Dell Store,/stores/Dell/page/9B75DD0E-9F42-4B9B-ACAA-F329B23ADE7D?ref_=ast_bln,,,"June 8, 2020",,S2421HGF,,17.78 x 21.17 x 7.46 inches,,,/Dell-S2421HGF-24inch-Anti-Glare-Monitor/product-reviews/B089T73ZB9/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
7,B07MTRQ6B3 ,"Sceptre Curved 27"" 75Hz LED Monitor HDMI VGA Build-In Speakers, EDGE-LESS Metal Black 2019 (C275W-1920RN)",,,Visit the Sceptre Store,/stores/Sceptre+Inc./page/ACF6E09F-2DD3-41A9-AB26-0C549BB6EC35?ref_=ast_bln,,,"January 11, 2019",No,C275W-1920RN,,24.27 x 9.01 x 17.69 inches,,,/Sceptre-Monitor-Speakers-Edge-Less-C275W-1920RN/product-reviews/B07MTRQ6B3/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
8,B088YN9LBK ,"LG 32QN600-B 32-Inch QHD (2560 x 1440) IPS Monitor with HDR 10, AMD FreeSync with Dual HDMI Inputs, Black",,,Visit the LG Store,/stores/LG+Electronics/page/E8585304-4D77-4965-9D22-B5F2CF409E38?ref_=ast_bln,,,"May 1, 2020",,32QN600-B,,28.1 x 8.2 x 20.2 inches,,,/LG-32QN600-B-32-Inch-Monitor-FreeSync/product-reviews/B088YN9LBK/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
9,B0862YHJ56 ,"AOC CQ27G2 27"" Super Curved Frameless Gaming Monitor QHD 2K, 1500R Curved VA, 1ms, 144Hz, FreeSync, Height adjustable, 3-Year Zero Dead Pixel Guarantee",,,Visit the AOC Store,/stores/AOC/page/E3396010-C7C9-4EF1-9B1F-74A5E6F5EAF2?ref_=ast_bln,,,"May 22, 2020",,CQ27G2,,24.1 x 20.81 x 9.85 inches,"DisplayPort Cable, Silkland DP Cable 6.6 ft [4K@60Hz, 2K@165Hz, 2K@144Hz], Braided Display Port…",/DisplayPort-Silkland-Braided-Display-Compatible/dp/B0861QVLHQ/ref=pd_bxgy_2/136-6952542-8760608?_encoding=UTF8&pd_rd_i=B0861QVLHQ&pd_rd_r=a3235e8a-b013-4b64-adf8-29a7906ba99d&pd_rd_w=7efKS&pd_rd_wg=rPOUC&pf_rd_p=f325d01c-4658-4593-be83-3e12ca663f0e&pf_rd_r=8QY5CEPVS3Z53DTEANT9&psc=1&refRID=8QY5CEPVS3Z53DTEANT9,/AOC-CQ27G2-Frameless-Adjustable-Guarantee/product-reviews/B0862YHJ56/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
10,B07Z7ZM8CJ ,"MOUNTUP Dual Monitor Stand - Adjustable Gas Spring Dual Monitor Mount, Monitor Desk Mount with C Clamp, Grommet Mounting Base, Monitor Arm for Computer Screen up to 32 Inch, MU0005",MOUNTUP,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A3O3GHLAAB8VWC&isAmazonFulfilled=1,Visit the MOUNTUP Store,/stores/MOUNTUP/page/15E8E5C0-71A7-44EF-9701-F3BE86321CF1?ref_=ast_bln,,,"October 17, 2019",,MU0005,16.02 x 12.2 x 7.05 inches,,"MOUNTUP Single Monitor Desk Mount - Adjustable Gas Spring Monitor Arm, VESA Mount with C Clamp…",https://www.amazon.com/MOUNTUP-Single-Monitor-Desk-Mount/dp/B07Z7ZGHD5/ref=pd_bxgy_2/132-6090141-0428751?_encoding=UTF8&pd_rd_i=B07Z7ZGHD5&pd_rd_r=533e29d3-3e7a-499c-8a2a-047d031ed67f&pd_rd_w=fcGqn&pd_rd_wg=tKSOm&pf_rd_p=f325d01c-4658-4593-be83-3e12ca663f0e&pf_rd_r=GNBPPAH5KT7JJYZ8THQD&psc=1&refRID=GNBPPAH5KT7JJYZ8THQD,
11,B087V5RLFB ,"ASUS TUF Gaming 32"" 1080P Curved Monitor (VG328H1B) - Full HD, 165Hz (Supports 144Hz), 1ms, Extreme Low Motion Blur, Speaker, Adaptive-Sync, FreeSync Premium, VESA Mountable, HDMI, Tilt Adjustable",,,Visit the ASUS Store,/stores/ASUS/page/02389710-881F-4F25-89E8-F92DEEA14D5A?ref_=ast_bln,,,"April 29, 2020",,VG328H1B,,27.94 x 19.97 x 8.42 inches,,,/ASUS-VG328H1B-Supports-Adaptive-sync-FreeSync/product-reviews/B087V5RLFB/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
12,B083FMP35T ,"ASUS VP249QGR 23.8” Gaming Monitor 144Hz Full HD (1920 x 1080) IPS 1ms FreeSync Extreme Low Motion Blur Eye Care DisplayPort HDMI VGA,BLACK",,,Visit the ASUS Store,/stores/ASUS/page/02389710-881F-4F25-89E8-F92DEEA14D5A?ref_=ast_bln,,,"January 2, 2020",,VP249QGR,,21.28 x 15.33 x 8.05 inches,,,/VP249QGR-Monitor-FreeSync-Extreme-DisplayPort/product-reviews/B083FMP35T/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
13,B00W95RR32 ,"LG 24M47VQ 24-Inch LED-lit Monitor, Black",,,Visit the LG Store,/stores/LG+Electronics/page/E8585304-4D77-4965-9D22-B5F2CF409E38?ref_=ast_bln,,,"April 9, 2015",No,24M47VQ,,21.9 x 7.8 x 17.2 inches,,,/LG-24M47VQ-24-Inch-LED-lit-Monitor/product-reviews/B00W95RR32/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
14,B08DYCZ7L9 ,"AOPEN 24CH2Y bix 23.8-inch Full HD (1920 x 1080) IPS Monitor 75Hz, 4ms (1 x HDMI & VGA Port), Black",,,Visit the AOPEN Store,/stores/AOPEN+/page/9ECD8A40-6128-436A-939B-B1D8AC17E588?ref_=ast_bln,,,"October 11, 2020",,24CH2Y bix,,24 x 6.04 x 17.6 inches,,,/AOPEN-24CH2Y-bix-23-8-inch-Monitor/product-reviews/B08DYCZ7L9/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
15,B08QD7W8HT ,"FORGING MOUNT Dual Monitor Stand-Vertical Stack Screen Desk Mount Stand Support Two 17 to 32 Inch Computer Monitors with C Clamp Grommet Base,VESA 75 100 Compatible",HY bracket,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A1ZXX6XNX5CLRA&isAmazonFulfilled=1,Brand: FORGING MOUNT,/FORGING-MOUNT/b/ref=bl_dp_s_web_20553575011?ie=UTF8&node=20553575011&field-lbr_brands_browse-bin=FORGING+MOUNT,,,"December 11, 2020",,FM4508,,6 x 6 x 33 inches,,,
16,B089V2R9WW ,"Sceptre Curved 27"" Gaming Monitor up to 165Hz DisplayPort 144Hz HDMI Edge-Less AMD FreeSync Premium, Build-in Speakers Machine Black 2021 (C275B-1858RN)",,,Visit the Sceptre Store,/stores/Sceptre+Inc./page/ACF6E09F-2DD3-41A9-AB26-0C549BB6EC35?ref_=ast_bln,,,"June 9, 2020",,C275B-1858RN,,24.27 x 6.38 x 17.56 inches,"DisplayPort Cable, iVANKY DP Cable 6.6ft/2M, [4K@60Hz, 2K@144Hz, 2K@165Hz], Nylon Braided High Speed…",/ivanky-DisplayPort-Braided-Display-Compatible/dp/B078HVDMW2/ref=pd_bxgy_2/143-0456528-9518722?_encoding=UTF8&pd_rd_i=B078HVDMW2&pd_rd_r=e0e59f0b-3987-43e0-89cc-9f2a97b138ad&pd_rd_w=UOgJD&pd_rd_wg=cJy4o&pf_rd_p=f325d01c-4658-4593-be83-3e12ca663f0e&pf_rd_r=5NX603KVF8DKJHM255GW&psc=1&refRID=5NX603KVF8DKJHM255GW,/Sceptre-DisplayPort-Edge-Less-FreeSync-C275B-1858RN/product-reviews/B089V2R9WW/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
17,B085HLDX1Z ,"ASUS VL279HE 27” Eye Care Monitor, 1080P Full HD (1920 x 1080), IPS, 75Hz, Adaptive-Sync, FreeSync, HDMI D-Sub, Frameless, Slim, Wall Mountable, Flicker Free and Blue Light Filter,BLACK",,,Visit the ASUS Store,/stores/ASUS/page/02389710-881F-4F25-89E8-F92DEEA14D5A?ref_=ast_bln,,,"March 6, 2020",,VL279HE,,24.17 x 8.2 x 17.23 inches,,,/ASUS-VL279HE-Adaptive-Sync-Frameless-Mountable/product-reviews/B085HLDX1Z/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
