,Unnamed: 0,country,designation,points,price,province,variety,winery,rating,price_bin,rating_n,price_bin_n,wine_type
1,993,Portugal,Campelo,85,10,Vinho Verde,Portuguese White,Caves Campelo,medium,medium,2,2,white
2,994,Portugal,Miranda,85,9,Vinho Verde,Portuguese White,Caves Campelo,medium,medium,2,2,white
3,1378,Portugal,Daphne,91,9,Vinho Verde,Loureiro,Casal Paço Padreiro,high,medium,0,2,white
5,1559,Portugal,Casal da Seara,84,10,Vinho Verde,Portuguese White,Caves Campelo,medium,medium,2,2,white
6,1694,Portugal,Torre de Vila Nova,88,12,Vinho Verde,Portuguese White,Casa de Vila Nova,high,medium,0,2,white
7,1841,Portugal,Campelo Tinto,84,10,Vinho Verde,Portuguese Red,Caves Campelo,medium,medium,2,2,red
8,2136,Portugal,Três Castas,82,10,Vinho Verde,Portuguese White,Caves Campelo,low,medium,1,2,white
9,2565,Portugal,Varanda do Conde,90,9,Vinho Verde,Portuguese White,Provam,high,medium,0,2,white
21,6758,Portugal,Raza,84,10,Vinho Verde,Portuguese White,Quinta da Raza,medium,medium,2,2,white
12,2962,Portugal,Branco,87,12,Vinho Verde,Portuguese White,Casa do Valle,medium,medium,2,2,white
13,3792,Portugal,Aphros Branco,89,9,Vinho Verde,Loureiro,Casal Paço Padreiro,high,medium,0,2,white
14,5164,Portugal,Aphros Tinto,88,9,Vinho Verde,Vinhão,Casal Paço Padreiro,high,medium,0,2,white
15,5205,Portugal,Hera Grande Escolha,86,10,Vinho Verde,Loureiro,Adega Cooperativa Ponte de Barca,medium,medium,2,2,white
16,5776,Portugal,Quinta de Lourosa,88,9,Vinho Verde,Portuguese White,Dão Sul,high,medium,0,2,white
17,5800,Portugal,Las Lilas,85,9,Vinho Verde,Portuguese White,Adega Cooperativa Ponte de Barca,medium,medium,2,2,white
18,6415,Portugal,Aphros Ten,87,9,Vinho Verde,Loureiro,Casal Paço Padreiro,medium,medium,2,2,white
19,6440,Portugal,Paço de São Lourenço Escolha,85,12,Vinho Verde,Portuguese White,Solar de Pinheiro,medium,medium,2,2,white
