title,url,rating,review_count,price,asin,prod_type
ViewSonic ELITE XG270QC Curved 27 Inch 1ms 1440p 165Hz FreeSync Premium Pro Gaming Monitor with VESA DisplayHDR 400 and Advanced Ergonomics for Esports,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_computers_sr_pg1_1?ie=UTF8&adId=A09591813JRNP1OJGMLJH&url=%2FViewSonic-XG270QC-Curved-Monitor-FreeSync%2Fdp%2FB07VKPWYQ5%2Fref%3Dsr_1_1_sspa%3Fdchild%3D1%26keywords%3DMonitor%26qid%3D1617471361%26s%3Dpc%26sr%3D1-1-spons%26psc%3D1&qualifier=1617471361&id=8813191349718178&widgetName=sp_atf,4.7,1174,449.99,B07VKPWYQ5,monitor
"Trio Max Portable Monitor for Laptop, Mobile Pixels 14.1"" Full HD IPS Display, Dual or Triple Laptop Monitor Screen, USB A/Type-C Plug and Play Monitor for 13”-17” Laptops(1x 14.1 Monitor)",https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_computers_sr_pg1_1?ie=UTF8&adId=A054904028LBV3SUTQ0VD&url=%2FTrio-Portable-Monitor-14-1-Display%2Fdp%2FB08LP22STD%2Fref%3Dsr_1_2_sspa%3Fdchild%3D1%26keywords%3DMonitor%26qid%3D1617471361%26s%3Dpc%26smid%3DAC2D8CHU2486J%26sr%3D1-2-spons%26psc%3D1&qualifier=1617471361&id=8813191349718178&widgetName=sp_atf,4.3,197,245.65,B08LP22STD,monitor
HP 24mh FHD Monitor - Computer Monitor with 23.8-Inch IPS Display (1080p) - Built-In Speakers and VESA Mounting - Height/Tilt Adjustment for Ergonomic Viewing - HDMI and DisplayPort - (1D0J9AA#ABA),https://www.amazon.com/HP-24mh-FHD-Monitor-Built/dp/B08BF4CZSV/ref=sr_1_3?dchild=1&keywords=Monitor&qid=1617471361&s=pc&sr=1-3,4.8,12273,169.99,B08BF4CZSV,monitor
"Sceptre 20"" 1600x900 75Hz Ultra Thin LED Monitor 2x HDMI VGA Built-in Speakers, Machine Black Wide Viewing Angle 170° (Horizontal) / 160° (Vertical)",https://www.amazon.com/Sceptre-E205W-16003R-Frameless-Speakers-Metallic/dp/B07743412C/ref=sr_1_4?dchild=1&keywords=Monitor&qid=1617471361&s=pc&sr=1-4,4.5,15382,81.79,B07743412C,monitor
"Dell S2421H 24 Inch Full HD 1080p IPS Ultra-Thin Bezel Monitor 2 x HDMI Ports, Built-in Speakers, Silver",https://www.amazon.com/Dell-S2421H-Ultra-Thin-Monitor-Speakers/dp/B08DWQ4JYF/ref=sr_1_5?dchild=1&keywords=Monitor&qid=1617471361&s=pc&sr=1-5,4.7,842,None,B08DWQ4JYF,monitor
"ASUS VY279HE 27” Eye Care Monitor, 1080P Full HD, 75Hz, IPS, 1ms, Adaptive-Sync/FreeSync, Eye Care Plus, Color Augmentation, Antibacterial Surface, HDMI VGA, Frameless, VESA Wall Mountable, Black",https://www.amazon.com/ASUS-VY279HE-Adaptive-Sync-Augmentation-Antibacterial/dp/B08K26TJNP/ref=sr_1_6?dchild=1&keywords=Monitor&qid=1617471361&s=pc&sr=1-6,4.7,4415,149.00,B08K26TJNP,monitor
"Dell S2421HGF 24 Inch FHD TN, Anti-Glare Gaming Monitor - 1ms Response Time, 1080p 144Hz, LED Edgelight System, AMD FreeSync Premium, VESA, Gray",https://www.amazon.com/Dell-S2421HGF-24inch-Anti-Glare-Monitor/dp/B089T73ZB9/ref=sr_1_7?dchild=1&keywords=Monitor&qid=1617471361&s=pc&sr=1-7,4.8,2036,None,B089T73ZB9,monitor
"Sceptre Curved 27"" 75Hz LED Monitor HDMI VGA Build-In Speakers, EDGE-LESS Metal Black 2019 (C275W-1920RN)",https://www.amazon.com/Sceptre-Monitor-Speakers-Edge-Less-C275W-1920RN/dp/B07MTRQ6B3/ref=sr_1_8?dchild=1&keywords=Monitor&qid=1617471361&s=pc&sr=1-8,4.7,7001,179.97,B07MTRQ6B3,monitor
"LG 32QN600-B 32-Inch QHD (2560 x 1440) IPS Monitor with HDR 10, AMD FreeSync with Dual HDMI Inputs, Black",https://www.amazon.com/LG-32QN600-B-32-Inch-Monitor-FreeSync/dp/B088YN9LBK/ref=sr_1_9?dchild=1&keywords=Monitor&qid=1617471361&s=pc&sr=1-9,4.7,1326,249.99,B088YN9LBK,monitor
"AOC CQ27G2 27"" Super Curved Frameless Gaming Monitor QHD 2K, 1500R Curved VA, 1ms, 144Hz, FreeSync, Height adjustable, 3-Year Zero Dead Pixel Guarantee",https://www.amazon.com/AOC-CQ27G2-Frameless-Adjustable-Guarantee/dp/B0862YHJ56/ref=sr_1_10?dchild=1&keywords=Monitor&qid=1617471361&s=pc&sr=1-10,4.7,22012,259.99,B0862YHJ56,monitor
