title,url,rating,review_count,price,asin,prod_type
"COWIN E7 Active Noise Cancelling Headphones Bluetooth Headphones with Microphone Deep Bass Wireless Headphones Over Ear, Comfortable Protein Earpads, 30 Hours Playtime for Travel/Work, Black",https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_electronics_sr_pg1_1?ie=UTF8&adId=A067144723NMF0N804UKR&url=%2FCancelling-Headphones-Bluetooth-Microphone-Comfortable%2Fdp%2FB019U00D7K%2Fref%3Dsr_1_1_sspa%3Fdchild%3D1%26keywords%3DHeadphones%26qid%3D1617473779%26s%3Delectronics%26sr%3D1-1-spons%26psc%3D1&qualifier=1617473779&id=4108057575959059&widgetName=sp_atf,4.4,69726,49.99,B019U00D7K,headphones
COWIN E7 PRO [Upgraded] Active Noise Cancelling Headphones Bluetooth Headphones with Microphone/Deep Bass Wireless Headphones Over Ear 30H Playtime for Travel/Work/TV/Computer/Cellphone - Black,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_electronics_sr_pg1_1?ie=UTF8&adId=A0946663393GNMNARC21V&url=%2FCancelling-Headphones-Bluetooth-Microphone-Cellphone%2Fdp%2FB077YG22Y9%2Fref%3Dsr_1_2_sspa%3Fdchild%3D1%26keywords%3DHeadphones%26qid%3D1617473779%26s%3Delectronics%26sr%3D1-2-spons%26psc%3D1&qualifier=1617473779&id=4108057575959059&widgetName=sp_atf,4.4,27251,69.99,B077YG22Y9,headphones
"Sony ZX Series Wired On-Ear Headphones, Black MDR-ZX110",https://www.amazon.com/Sony-MDRZX110-BLK-Stereo-Headphones/dp/B00NJ2M33I/ref=sr_1_3?dchild=1&keywords=Headphones&qid=1617473779&s=electronics&sr=1-3,4.5,51087,None,B00NJ2M33I,headphones
TOZO T6 True Wireless Earbuds Bluetooth Headphones Touch Control with Wireless Charging Case IPX8 Waterproof TWS Stereo Earphones in-Ear Built-in Mic Headset Premium Deep Bass for Sport (Champagne),https://www.amazon.com/TOZO-T6-Bluetooth-Headphones-Waterproof/dp/B08F1SX35C/ref=sr_1_4?dchild=1&keywords=Headphones&qid=1617473779&s=electronics&sr=1-4,4.5,106219,39.99,B08F1SX35C,headphones
"Beats Solo3 Wireless On-Ear Headphones - Apple W1 Headphone Chip, Class 1 Bluetooth, 40 Hours of Listening Time, Built-in Microphone - Rose Gold (Latest Model)",https://www.amazon.com/Beats-Solo3-Wireless-Ear-Headphones/dp/B07YVYPNRD/ref=sr_1_5?dchild=1&keywords=Headphones&qid=1617473779&s=electronics&sr=1-5,4.7,27198,None,B07YVYPNRD,headphones
"PeohZarr On-Ear Headphones with Microphone, Lightweight Folding Stereo Bass Headphones with 1.5M Tangle Free Cord, Portable Wired Headphones for Smartphone Tablet Laptop Computer MP3/4",https://www.amazon.com/PeohZarr-Headphones-Microphone-Lightweight-Smartphone/dp/B07SHH37M6/ref=sr_1_6?dchild=1&keywords=Headphones&qid=1617473779&s=electronics&sr=1-6,4.5,20664,14.98,B07SHH37M6,headphones
"Kurdene Wireless Earbuds,Bluetooth Earbuds with Charging Case Bass Sounds IPX8 Waterproof Sports Headphones with Mic Touch Control 24H Playtime -Black",https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_electronics_sr_pg1_1?ie=UTF8&adId=A06382662GUD9STOK3ESK&url=%2FWireless-Bluetooth-Waterproof-Headphones-Android-Black%2Fdp%2FB085VX9JY7%2Fref%3Dsr_1_7_sspa%3Fdchild%3D1%26keywords%3DHeadphones%26qid%3D1617473779%26s%3Delectronics%26sr%3D1-7-spons%26psc%3D1%26smid%3DA3531PJZXY3VJY&qualifier=1617473779&id=4108057575959059&widgetName=sp_mtf,4.3,20528,22.99,B085VX9JY7,headphones
"COWIN E7 Active Noise Cancelling Headphones Bluetooth Headphones with Microphone Deep Bass Wireless Headphones Over Ear, Comfortable Protein Earpads, 30 Hours Playtime for Travel/Work, Black",https://www.amazon.com/Cancelling-Headphones-Bluetooth-Microphone-Comfortable/dp/B019U00D7K/ref=sr_1_8?dchild=1&keywords=Headphones&qid=1617473779&s=electronics&sr=1-8,4.4,69726,49.99,B019U00D7K,headphones
"LETSCOM Bluetooth Headphones V5.0 IPX7 Waterproof, Wireless Sport Earphones, HiFi Bass Stereo Sweatproof Earbuds W/Mic, Noise Cancelling Headset for Workout, Running, Gym, 8 Hours Play time",https://www.amazon.com/LETSCOM-Headphones-Waterproof-Sweatproof-Cancelling/dp/B07R2J14V3/ref=sr_1_9?dchild=1&keywords=Headphones&qid=1617473779&s=electronics&sr=1-9,4.4,69518,20.99,B07R2J14V3,headphones
"Anker Soundcore Life Q20 Hybrid Active Noise Cancelling Headphones, Wireless Over Ear Bluetooth Headphones, 40H Playtime, Hi-Res Audio, Deep Bass, Memory Foam Ear Cups, for Travel, Home Office",https://www.amazon.com/Soundcore-Cancelling-Headphones-Wireless-Bluetooth/dp/B07NM3RSRQ/ref=sr_1_10?dchild=1&keywords=Headphones&qid=1617473779&s=electronics&sr=1-10,4.5,24543,49.99,B07NM3RSRQ,headphones
VEATOOL Wireless Earbuds Bluetooth Headphones 48hrs Play time Sport Earphones with LED Display TWS Stereo Deep Bass Ear Buds with Earhooks Waterproof in-Ear Built-in Mic Headset for Running Workout,https://www.amazon.com/VEATOOL-Bluetooth-Headphones-Earphones-Waterproof/dp/B08P5S3YDF/ref=sr_1_11?dchild=1&keywords=Headphones&qid=1617473779&s=electronics&sr=1-11,4.6,5776,38.99,B08P5S3YDF,headphones
Heavy bass Earphone Color Call with Mic Stereo Earbud Headphones Mixed Colors (Black + White + Pink + Green 4 Pairs)…,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_electronics_sr_pg1_1?ie=UTF8&adId=A09744392B08YYXJS6L2E&url=%2Fearphone-Stereo-Earbud-Headphones-Colors%2Fdp%2FB07L1RQDJM%2Fref%3Dsr_1_12_sspa%3Fdchild%3D1%26keywords%3DHeadphones%26qid%3D1617473779%26s%3Delectronics%26sr%3D1-12-spons%26psc%3D1&qualifier=1617473779&id=4108057575959059&widgetName=sp_mtf,4.2,7715,9.99,B07L1RQDJM,headphones
"Bluetooth Headphones Over-Ear, Zihnic Foldable Wireless and Wired Stereo Headset Micro SD/TF, FM for Cell Phone,PC,Soft Earmuffs &Light Weight for Prolonged Waring(Rose Gold)",https://www.amazon.com/Bluetooth-Over-Ear-Headphones-Foldable-Prolonged/dp/B07K5214NZ/ref=sr_1_13?dchild=1&keywords=Headphones&qid=1617473779&s=electronics&sr=1-13,4.4,36216,25.99,B07K5214NZ,headphones
"Kids Headphones, Mpow CHE2 Wired Headphones for Kids Teens, Children Headphones with Volume Limit, Foldable Adjustable On Ear Headphones for School, Travel, Compatible with Cellphones, Tablets, PC",https://www.amazon.com/Headphones-Mpow-Adjustable-Compatible-Cellphones/dp/B088F9BZJM/ref=sr_1_14?dchild=1&keywords=Headphones&qid=1617473779&s=electronics&sr=1-14,4.6,2965,16.99,B088F9BZJM,headphones
