title,url,rating,review_count,price,prod_type
"HUAWEI FullHD Monitor 'AD80' mit 60,45 cm (23,8 Zoll) Diagonale, HDMI, VGA, Schwarz + HUAWEI AX3 3000 Mbit/s Dual Band WLAN Router",https://www.amazon.de/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg2_1?ie=UTF8&adId=A06549932M6TA56G11CV3&url=%2FHUAWEI-FullHD-Monitor-Diagonale-Schwarz%2Fdp%2FB08WSCN3MY%2Fref%3Dsr_1_17_sspa%3Fdchild%3D1%26keywords%3DMonitor%26qid%3D1617015152%26sr%3D8-17-spons%26psc%3D1&qualifier=1617015152&id=3586572420085179&widgetName=sp_atf_next,,,159.00,monitor
"HUAWEI MateBook D16 Laptop, 16,1 Zoll FullView 1080p FullHD Display, 512GB PCIe SSD+16GB RAM + Eye Comfort FullHD Monitor 'AD80' mit 60,45 cm (23,8 Zoll) Diagonale",https://www.amazon.de/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg2_1?ie=UTF8&adId=A0883438F5E84CEN70J1&url=%2FHUAWEI-MateBook-FullView-Display-Diagonale%2Fdp%2FB08XKWZYCX%2Fref%3Dsr_1_18_sspa%3Fdchild%3D1%26keywords%3DMonitor%26qid%3D1617015152%26sr%3D8-18-spons%26psc%3D1&qualifier=1617015152&id=3586572420085179&widgetName=sp_atf_next,4.7,451.0,899.00,monitor
Dell P2421DC,https://www.amazon.de/Dell-DELL-P2421DC-P2421DC/dp/B085XD8NV3/ref=sr_1_19?dchild=1&keywords=Monitor&qid=1617015152&sr=8-19,4.4,35.0,"285,01 €",monitor
"LG Electronics 32UL750-W 80cm (31,5"""") 4K Monitor HDMI/DP/USB-C 400cd/m² HDR600 HV LS, bk",https://www.amazon.de/LG-Electronics-32UL750-W/dp/B07NS7JKJH/ref=sr_1_20?dchild=1&keywords=Monitor&qid=1617015152&sr=8-20,4.0,220.0,"579,29 €",monitor
"Tragbarer Monitor - 15,6 Zoll USB Monitor IPS Bildschirm Tragbar 1920×1080 Full-HD Portable Monitor mit USB-C/Typ-C Mini-HDMI für PC, Handy, Xbox, PS4 usw, mit Schutzhülle",https://www.amazon.de/Tragbarer-Monitor-Bildschirm-Schutzh%C3%BClle-Displayschutz/dp/B07TLXJVCD/ref=sr_1_21?dchild=1&keywords=Monitor&qid=1617015152&sr=8-21,4.3,679.0,"199,00 €",monitor
"Portable USB C Monitor, UPERFECT 15,6 Zoll Tragbarer Monitor IPS Bildschirm 1920 x 1080 Full HD mit HDMI Typ-C Anschluß für Raspberry Pi, Xbox, PS4 mit Schutzhülle",https://www.amazon.de/1920X1080-Tragbarer-Raspberry-inklusive-Schutzh%C3%BClle/dp/B07S2QK29B/ref=sr_1_22?dchild=1&keywords=Monitor&qid=1617015152&sr=8-22,4.4,1.221,"199,99 €",monitor
"Z-Edge Tragbarer Monitor USB Typ-C Portable Monitor 15,6 Zoll IPS Bildschirm 1920x1080 Full HD Gaming Monitor mit Mini-HDMI Typ-C Für Laptop PC Mac Smartphone Xbox PS4 Switch usw, inkl. Schutzhülle",https://www.amazon.de/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg2_1?ie=UTF8&adId=A00605591PCBVCFX8MJP5&url=%2FZ-Edge-Tragbarer-Bildschirm-Smartphone-Schutzh%25C3%25BClle%2Fdp%2FB08CKSGLHK%2Fref%3Dsr_1_23_sspa%3Fdchild%3D1%26keywords%3DMonitor%26qid%3D1617015152%26smid%3DA31VKF274A20Z0%26sr%3D8-23-spons%26psc%3D1&qualifier=1617015152&id=3586572420085179&widgetName=sp_mtf,4.4,98.0,"143,99 €",monitor
"Acer RG240Y Gaming Monitor 23,8 Zoll (60 cm Bildschirm) Full HD, 75Hz HDMI/DP, 60Hz VGA, 1ms (VRB), 2xHDMI 1.4, VGA, HDMI/DP FreeSync",https://www.amazon.de/Acer-Nitro-23-8Zoll-Schwarz-Computerbildschirm/dp/B07C5H9NDT/ref=sr_1_24?dchild=1&keywords=Monitor&qid=1617015152&sr=8-24,4.6,543.0,"165,24 €",monitor
"WIMAXIT 10,1 Zoll HDMI VGA 1920x1080 Auflösung Monitor für PC, Kamera, CCTV Überwachung Monitore",https://www.amazon.de/WIMAXIT-1920x1080-Aufl%C3%B6sung-%C3%9Cberwachung-Monitore/dp/B077S2R57P/ref=sr_1_25?dchild=1&keywords=Monitor&qid=1617015152&sr=8-25,4.2,244.0,"115,99 €",monitor
Samsung T35F 27 Zoll IPS-Monitor 1080p Mit HDMI Randlos Full HD,https://www.amazon.de/Samsung-T35F-IPS-Monitor-1080p-Randlos/dp/B08C7VBC81/ref=sr_1_26?dchild=1&keywords=Monitor&qid=1617015152&sr=8-26,4.5,81.0,,monitor
