,variety,Unnamed: 0
1,Portuguese White,993
2,Portuguese White,994
3,Loureiro,1378
4,Rosé,1558
5,Portuguese White,1559
6,Portuguese White,1694
7,Portuguese Red,1841
8,Portuguese White,2136
9,Portuguese White,2565
11,Arinto,2947
12,Portuguese White,2962
13,Loureiro,3792
14,Vinhão,5164
15,Loureiro,5205
16,Portuguese White,5776
17,Portuguese White,5800
18,Loureiro,6415
19,Portuguese White,6440
21,Portuguese White,6758
23,Rosé,7444
24,Portuguese White,7464
25,Loureiro,7567
26,Portuguese White,7775
27,Loureiro,8726
28,Portuguese White,8889
29,Portuguese White,8890
30,Rosé,9664
31,Portuguese White,10001
32,Portuguese White,10400
33,Portuguese White,10626
34,Rosé,10640
35,Portuguese White,10973
36,Portuguese Red,11269
37,Rosé,11278
38,Alvarinho,12731
40,Rosé,15208
41,Portuguese White,15724
42,Portuguese White,15734
44,Alvarinho,19673
45,Loureiro,19735
46,Loureiro,19915
47,Loureiro,20099
48,Portuguese White,20152
49,Portuguese White,20274
50,Portuguese White,20457
51,Alvarinho,20458
52,Portuguese White,20550
53,Portuguese White,20554
54,Portuguese White,20579
55,Loureiro,20610
56,Portuguese White,20613
57,Portuguese White,20694
58,Rosé,20697
59,Rosé,20814
60,Portuguese White,20911
61,Loureiro,21096
62,Portuguese White,21413
63,Loureiro,24692
65,Portuguese White,24990
66,Portuguese White,25019
67,Portuguese White,25252
68,Portuguese White,25254
69,Portuguese White,25255
70,Portuguese White,25518
71,Portuguese White,25648
72,Portuguese White,25708
73,Portuguese White,25880
74,Rosé,25939
75,Portuguese White,26003
76,Portuguese White,26045
77,Portuguese White,26381
78,Portuguese White,28458
79,Portuguese White,28566
81,Loureiro,28588
82,Loureiro,28766
83,Portuguese White,29203
84,Portuguese White,29210
85,Portuguese White,29676
86,Portuguese White,30260
87,Portuguese White,30596
88,Portuguese White,30736
89,Portuguese White,30909
90,Portuguese White,31038
91,Rosé,31530
92,Portuguese White,31556
93,Portuguese Rosé,32531
94,Portuguese Red,32887
97,Rosé,33158
98,Rosé,33177
99,Portuguese White,33481
100,Rosé,33805
103,Portuguese White,34410
104,Rosé,34421
105,Portuguese White,34422
106,Portuguese White,34687
107,Rosé,34691
108,Alvarinho,35333
109,Portuguese White,35342
110,Loureiro,35635
111,Portuguese White,36861
113,Portuguese White,37445
114,Portuguese White,37746
115,Rosé,37760
116,Portuguese White,38063
117,Alvarinho,38150
118,Portuguese Red,38359
119,Rosé,38365
120,Portuguese White,38412
124,Portuguese White,40472
126,Portuguese White,42168
128,Portuguese White,43223
129,Portuguese White,43253
130,Portuguese White,44107
131,Loureiro,44162
133,Portuguese White,44944
134,Loureiro,45119
135,Portuguese White,45660
136,Portuguese White,45689
137,Alvarinho,46004
138,Portuguese White,46852
139,Portuguese White,46854
140,Portuguese White,46855
142,Rosé,47305
143,Portuguese White,48048
144,Rosé,48183
145,Portuguese White,48658
146,Portuguese White,48928
147,Portuguese White,49051
148,Portuguese White,49068
149,Portuguese White,49072
150,Loureiro,49350
151,Portuguese White,49653
152,Portuguese White,49660
153,Portuguese White,49665
154,Loureiro,49670
155,Rosé,49678
156,Portuguese White,49790
157,Rosé,50089
158,Portuguese White,50252
159,Portuguese White,50271
160,Portuguese White,50393
161,Portuguese White,50675
162,Portuguese White,50858
163,Rosé,50870
164,Portuguese Sparkling,53022
165,Portuguese White,58347
166,Alvarinho,58487
167,Portuguese White,58931
168,Loureiro,59064
169,Portuguese White,59066
170,Portuguese White,59343
171,Portuguese White,59551
172,Portuguese White,60132
173,Loureiro,61837
174,Rosé,63718
175,Portuguese White,64024
176,Portuguese White,64034
177,Rosé,64214
178,Rosé,64543
179,Portuguese White,64555
180,Portuguese Red,64728
181,Portuguese White,64862
182,Alvarinho,64908
183,Portuguese White,64909
184,Portuguese White,65799
185,Portuguese White,65947
186,Portuguese White,66097
187,Portuguese White,66720
188,Portuguese White,67642
189,Portuguese White,68212
190,Portuguese White,68351
191,Portuguese White,68365
192,Portuguese White,68662
193,Portuguese White,69542
194,Portuguese White,71992
195,Arinto,72095
196,Portuguese White,72555
197,Loureiro,72622
198,Rosé,72853
200,Loureiro,73135
201,Portuguese White,73317
203,Portuguese Sparkling,73662
205,Loureiro,74219
206,Rosé,74353
207,Portuguese White,74645
208,Vinhão,74651
209,Portuguese White,74740
210,Portuguese White,75027
211,Espadeiro,75212
212,Portuguese White,75322
213,Avesso,75349
214,Portuguese White,75608
215,Rosé,75627
217,Portuguese White,76655
219,Portuguese White,77220
220,Portuguese White,77249
222,Portuguese White,78412
223,Portuguese White,78414
224,Portuguese White,78415
225,Avesso,79119
226,Portuguese White,79410
227,Alvarinho,79463
228,Portuguese White,79638
229,Alvarinho,79732
230,Loureiro,79765
231,Loureiro,80014
232,Portuguese White,80188
233,Portuguese White,80488
234,Portuguese White,80625
235,Loureiro,80665
236,Portuguese White,81410
237,Loureiro,81539
239,Rosé,81709
240,Portuguese White,81832
241,Portuguese White,81852
243,Portuguese White,82073
244,Portuguese White,82355
245,Portuguese White,82434
246,Portuguese White,82756
247,Loureiro,83335
248,Portuguese White,83367
249,Alvarinho,83368
250,Azal,83917
251,Portuguese White,83937
252,Portuguese White,83940
253,Portuguese White,83944
254,Portuguese White,83969
255,Loureiro,84210
256,Portuguese White,84213
257,Portuguese White,84262
258,Portuguese White,84392
259,Portuguese White,84536
260,Portuguese White,84564
261,Rosé,84567
262,Loureiro,85119
263,Rosé,85164
264,Portuguese White,86323
266,Alvarinho,94028
267,Portuguese White,94598
269,Portuguese White,94902
270,Alvarinho,96091
271,Avesso,96092
272,Alvarinho,97872
273,Portuguese White,98759
274,Portuguese White,99050
275,Loureiro,99343
276,Portuguese White,100257
277,Portuguese Red,100537
279,Rosé,100838
280,Rosé,100857
281,Loureiro,101096
282,Portuguese White,101131
283,Rosé,101455
285,Portuguese White,102030
286,Rosé,102041
287,Portuguese White,102042
288,Portuguese White,102271
289,Portuguese White,102337
290,Rosé,102341
291,Loureiro,102813
292,Portuguese White,102962
293,Vinhão,103458
294,Portuguese White,104346
296,Portuguese White,105267
297,Loureiro,105568
298,Portuguese White,106362
299,Portuguese White,109347
300,Alvarinho,109878
301,Portuguese White,109879
302,Portuguese White,109931
303,Portuguese White,110521
304,Alvarinho,110717
305,Loureiro,111324
306,Portuguese White,111326
307,Portuguese White,111603
308,Portuguese White,111639
309,Portuguese White,111937
310,Portuguese White,112237
311,Portuguese White,112512
312,Portuguese White,113400
313,Loureiro,114247
314,Portuguese White,115102
315,Rosé,115798
316,Portuguese White,115954
317,Portuguese White,115964
318,Rosé,116054
319,Rosé,116233
320,Portuguese White,116245
321,Portuguese Red,116328
322,Portuguese White,116402
323,Rosé,118378
324,Portuguese White,118954
325,Portuguese White,118964
326,Rosé,119174
327,Rosé,119833
328,Portuguese White,119845
329,Portuguese Red,120078
330,Portuguese White,120212
331,Portuguese White,120392
332,Loureiro,122012
334,Portuguese White,123570
335,Portuguese White,123599
336,Portuguese White,124822
337,Portuguese White,124824
338,Portuguese White,124825
339,Portuguese White,125988
340,Portuguese White,126598
341,Portuguese White,126898
342,Portuguese White,127820
343,Rosé,128059
344,Portuguese White,128333
345,Portuguese White,128615
346,Alvarinho,132828
347,Portuguese White,132829
348,Portuguese White,134052
349,Portuguese White,134083
350,Portuguese White,134559
351,Portuguese White,134917
352,Portuguese White,135187
353,Alvarinho,135647
355,Alvarinho,136080
356,Loureiro,136085
358,Loureiro,136254
359,Portuguese White,136256
360,Portuguese White,136350
361,Alvarinho,136387
362,Alvarinho,136388
363,Alvarinho,136400
364,Portuguese White,136533
365,Alvarinho,136689
366,Portuguese White,136700
368,Alvarinho,136709
369,Portuguese White,136987
370,Portuguese White,136988
371,Portuguese White,136993
372,Alvarinho,136996
373,Portuguese White,137067
374,Portuguese White,137297
375,Portuguese White,137442
376,Alvarinho,137555
377,Portuguese White,137681
378,Portuguese White,138172
379,Portuguese White,138241
380,Portuguese White,138437
381,Portuguese White,139372
382,Portuguese White,139661
383,Portuguese White,139675
384,Portuguese White,139930
385,Portuguese White,140221
386,Alvarinho,140222
387,Portuguese White,140230
388,Portuguese White,140272
389,Portuguese White,140543
390,Portuguese White,140821
391,Portuguese White,141129
392,Portuguese White,141143
393,Portuguese White,141148
394,White Blend,143472
395,Alvarinho,143575
